ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Name [State] 2017-18,State Name [State] 2016-17,State Name [State] 2015-16,State Name [State] 2014-15,State Name [State] 2013-14,State Name [State] 2012-13,State Name [State] 2011-12,State Name [State] 2010-11,State Name [State] 2009-10,State Name [State] 2008-09,State Name [State] 2007-08,State Name [State] 2006-07,State Abbr [State] Latest available year,Total Students [State] 2017-18,Total Students [State] 2016-17,Total Students [State] 2015-16,Total Students [State] 2014-15,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2009-10,Total Students All Grades (Excludes AE) [Public School] 2008-09,Total Students All Grades (Excludes AE) [Public School] 2007-08,Total Students All Grades (Excludes AE) [Public School] 2006-07
HAWAII,HAWAII,HAWAII,HAWAII,HAWAII,Hawaii,Hawaii,HAWAII,HAWAII,HAWAII,HAWAII,HAWAII,HAWAII,HI ,180837,181550,181995,182384,186825,184760,182706,179601,180196,179478,179897,180728,180837,181550,181995,182384,186825,184760,182705,179601,180196,179406,179897,180720
IDAHO,IDAHO,IDAHO,IDAHO,IDAHO,Idaho,Idaho,IDAHO,IDAHO,IDAHO,IDAHO,IDAHO,IDAHO,ID ,301186,297200,292277,290885,296476,284834,279873,275859,276299,275051,272119,267380,301186,297178,292264,290885,294911,283733,279494,275815,276299,274672,271976,267447
ILLINOIS,ILLINOIS,ILLINOIS,ILLINOIS,ILLINOIS,Illinois,Illinois,ILLINOIS,ILLINOIS,ILLINOIS,ILLINOIS,ILLINOIS,ILLINOIS,IL ,2005153,2026718,2041779,2050239,2066990,2072880,2083097,2091654,2104175,2119707,2112805,2118276,1992313,2009567,2018739,2041669,2058107,2063607,2073721,2082121,2096927,2119707,2112805,2118276
INDIANA,INDIANA,INDIANA,INDIANA,INDIANA,Indiana,Indiana,INDIANA,INDIANA,INDIANA,INDIANA,INDIANA,INDIANA,IN ,1054187,1049547,1046757,1046269,1047385,1041369,1040765,1047232,1046661,1046147,1046764,1045940,1053857,1048953,1046452,1045813,1047385,1040051,1037779,1041472,1046661,1046147,1045927,1044486
IOWA,IOWA,IOWA,IOWA,IOWA,Iowa,Iowa,IOWA,IOWA,IOWA,IOWA,IOWA,IOWA,IA ,511850,509831,508014,505311,502964,499825,495870,495775,491842,487559,485115,483122,502878,500968,500105,496863,494570,490630,485358,484856,482123,482735,482204,481688
KANSAS,KANSAS,KANSAS,KANSAS,KANSAS,Kansas,Kansas,KANSAS,KANSAS,KANSAS,KANSAS,KANSAS,KANSAS,KS ,497088,494347,495884,497275,496440,489043,486108,483701,474489,471060,468295,469506,491481,489706,488568,490861,491449,484070,481519,479996,469293,471060,468295,459879
KENTUCKY,KENTUCKY,KENTUCKY,KENTUCKY,KENTUCKY,Kentucky,Kentucky,KENTUCKY,KENTUCKY,KENTUCKY,KENTUCKY,KENTUCKY,KENTUCKY,KY ,680978,684017,686598,688640,677389,685167,681987,673128,680089,670030,666225,683152,680978,684017,686252,688640,683957,685167,681643,673128,676286,670030,666225,646634
LOUISIANA,LOUISIANA,LOUISIANA,LOUISIANA,LOUISIANA,Louisiana,Louisiana,LOUISIANA,LOUISIANA,LOUISIANA,LOUISIANA,LOUISIANA,LOUISIANA,LA ,715135,716293,718711,716800,711491,710903,703390,696558,690915,684873,681038,675851,715135,715775,718711,716800,695632,697224,702301,695772,690741,684745,680911,675716
MAINE,MAINE,MAINE,MAINE,MAINE,Maine,Maine,MAINE,MAINE,MAINE,MAINE,MAINE,MAINE,ME ,180473,180512,181613,182470,183995,185739,188969,189077,189225,192935,196245,193986,175324,175402,176412,177287,178842,180274,178989,183477,184232,187484,190737,193986
MARYLAND,MARYLAND,MARYLAND,MARYLAND,MARYLAND,Maryland,Maryland,MARYLAND,MARYLAND,MARYLAND,MARYLAND,MARYLAND,MARYLAND,MD ,893684,886221,879601,874514,866169,859638,854086,852211,848412,843861,845700,851640,893684,886215,879587,874505,866151,859623,854060,852202,848412,843781,845700,851640
