,attending_school,case_no,casetype,dcps_school_against,home_school,failed_parse,casetype_clean_init,casetype_isdigits,casetype_final
7319,Accotin k Acade my,• ...; 1'i1 2018--0201,"..._... .. ~. .... ..,,., ...,, '""""""' _. ......., ~ ......",Noyes Elementary School,Bunker Hill Eleme ntary School,0,"..._... .. ~. .... ..,,., ...,, '""""""' _. ......., ~ ......",no_digits,Other/failed to parse
7320,Accotin k Acade my,• ...; 1'i1 2018--0201,"..._... .. ~. .... ..,,., ...,, '""""""' _. ......., ~ ......",Noyes Element ary School,Bunker Hill Eleme ntary School,0,"..._... .. ~. .... ..,,., ...,, '""""""' _. ......., ~ ......",no_digits,Other/failed to parse
7334,OTHER,2018-0204,-..r --•~--- ·~- •r-,OTHER,Langdon Elementary Schoo l,0,-..r --•~--- ·~- •r-,no_digits,Other/failed to parse
7335,Cesar Chavez PCS,2018-0205,18 n.,OTHER,Langdon Elementary Schoo l,0,18 n.,digits,Other/failed to parse
7336,Cesar Chavez PCS,2018-0205,"""",OTHER,Langdon Elementary Schoo l,0,"""",no_digits,Other/failed to parse
7337,Cesar Chavez PCS,2018-0205,"""",Lab Schoo l of Wash ington,Langdon Elementary Schoo l,0,"""",no_digits,Other/failed to parse
7372,Non-At tend ing,l 'f 08/27/2018 2018-0221,"'-nt"":•.~,.-.--~ •...J",Johnson MS,Johnson MS,0,"'-nt"":•.~,.-.--~ •...J",no_digits,Other/failed to parse
7687,01/24/2019,01/24/2019,01/24/2019,Payne Elementary Schoo l,01/24/2019,0,01/24/2019,digits,Other/failed to parse
7797,Peabody Elementary School,2019-0087,03/26/ 2019,03/26/ 2019,03/26/ 2019,0,03/26/ 2019,digits,Other/failed to parse
7798,Peabody Elementary School,2019-0087,03/26/ 2019,Ballou STAY,03/26/ 2019,0,03/26/ 2019,digits,Other/failed to parse
7799,Ballou STAY,2019-0 089,03/28/2019,Ballou STAY,Ballou STAY,0,03/28/2019,digits,Other/failed to parse
7800,Ballou STAY,2019-0 089,03/28/2019,Am idon Elementary School,Ballou STAY,0,03/28/2019,digits,Other/failed to parse
7801,Amidon Eleme nta ry School,2019-0 090,04/ 01/2019,Am idon Elementary School,Amidon Elementary School,0,04/ 01/2019,digits,Other/failed to parse
7802,Lab School of Washington,2019-0 091,04/ 03/2019,Am idon Elementary School,Amidon Elementary School,0,04/ 03/2019,digits,Other/failed to parse
7803,Lab School of Washington,2019-0 091,04/ 03/2019,Other,Amidon Elementary School,0,04/ 03/2019,digits,Other/failed to parse
7804,OTHER,2019-0 092,04/ 05/ 2019,Other,Cool idge High School,0,04/ 05/ 2019,digits,Other/failed to parse
7805,OTHER,2019-0 092,04/ 05/ 2019,Kelly M iller MS,Cool idge High School,0,04/ 05/ 2019,digits,Other/failed to parse
7806,Kelly Mil ler MS,2019-0094,04/ 05/ 2019,Kelly M iller MS,Kelly Mille r MS,0,04/ 05/ 2019,digits,Other/failed to parse
7807,Kelly Mil ler MS,2019-0094,04/ 05/ 2019,Kelly M iller M S,Kelly Mille r MS,0,04/ 05/ 2019,digits,Other/failed to parse
7808,Kelly Mil ler MS,2019-0094,04/08/2019,Kelly M iller M S,Kelly Mille r MS,0,04/08/2019,digits,Other/failed to parse
7809,DC Interna tional PCS,2019-0 093,04/08/2019,Kelly M iller M S,DC International PCS,0,04/08/2019,digits,Other/failed to parse
7810,DC Interna tional PCS,2019-0 093,04/08/2019,Hend ley Elementary School,DC International PCS,0,04/08/2019,digits,Other/failed to parse
7811,Hendley Elementary School,2019-009S,04/08/2019,Hend ley Elementary School,Hendley Elementary School,0,04/08/2019,digits,Other/failed to parse
7812,Hendley Elementary School,2019-009S,04/08/2019,Bunker Hill Elementary School,Hendley Elementary School,0,04/08/2019,digits,Other/failed to parse
7813,Bunker Hill Eleme ntary School,2019-0097,04/08/2019,Bunker Hill Elementar y School,Powell Elementary School,0,04/08/2019,digits,Other/failed to parse
7814,Bunker Hill Eleme ntary School,2019-0097,04/09/2019,Bunker Hill Elementary School,Powell Elementary School,0,04/09/2019,digits,Other/failed to parse
7815,Bunker Hill Eleme ntary School,2019-0097,04/09/2019,Dunba r High Schoo l,Powell Elementary School,0,04/09/2019,digits,Other/failed to parse
7816,Bunker Hill Eleme ntary School,2019-0097,04/09/2019,Dunba r High School,Powell Elementary School,0,04/09/2019,digits,Other/failed to parse
7817,Dunbar High School,2019-0 096,04/09/2019,Dunba r High School,Dunbar High School,0,04/09/2019,digits,Other/failed to parse
7818,Dunbar High School,2019-0 096,04/09/2019,Dunbar High School,Dunbar High School,0,04/09/2019,digits,Other/failed to parse
7819,Dunbar High School,2019-0 096,04/09/2019,Noyes Elementary School,Dunbar High School,0,04/09/2019,digits,Other/failed to parse
7820,Noyes Elementa ry School,2019-0 098,04/ 10/2019,Noyes Elementary School,Noyes Elementary School,0,04/ 10/2019,digits,Other/failed to parse
7821,Noyes Elementa ry School,2019-0 098,04/ 10/2019,King ML ES,Noyes Elementary School,0,04/ 10/2019,digits,Other/failed to parse
7822,Noyes Elementa ry School,2019-0 098,04/ 10/2019,King M L ES,Noyes Elementary School,0,04/ 10/2019,digits,Other/failed to parse
7823,King M LES,2019-0100,04/ 10/2019,King M L ES,OTHER,0,04/ 10/2019,digits,Other/failed to parse
7824,King M LES,2019-0100,04/ 11/2019,King M L ES,OTHER,0,04/ 11/2019,digits,Other/failed to parse
7825,King M LES,2019-0100,04/ 11/2019,Langdon Elementary School,OTHER,0,04/ 11/2019,digits,Other/failed to parse
7826,Langdon Eleme nta ry School,2019-0 099,04/ 11/2019,Langdon Elementary School,Langdon Elementa ry School,0,04/ 11/2019,digits,Other/failed to parse
7827,Early Childhood Academy PCS,2019-0102,04/ 11/2019,Langdon Elementary School,Langdon Elementa ry School,0,04/ 11/2019,digits,Other/failed to parse
7828,Early Childhood Academy PCS,2019-0102,04/ 11/2019,Cardozo Educational Cam pus,Langdon Elementa ry School,0,04/ 11/2019,digits,Other/failed to parse
7829,Early Childhood Academy PCS,2019-0102,04/ 11/2019,Cardozo Educational Campus,Langdon Elementa ry School,0,04/ 11/2019,digits,Other/failed to parse
7865,Achievemen t Prep Academy Public Chart er School,2019-0115,04/30 /2019,Early Stages A-M,Simon Elementary Schoo l,0,04/30 /2019,digits,Other/failed to parse
7866,Friends hip Publ ic Charter School (all campuses),2019-0116,04/30 /2019,Early Stages A-M,Simon Elementary Schoo l,0,04/30 /2019,digits,Other/failed to parse
7867,Friends hip Publ ic Charter School (all campuses),2019-0116,04/30 /2019,Early Stages A-M,Friends hip Public Char te r,0,04/30 /2019,digits,Other/failed to parse
7868,Friends hip Public Charter,2019-0113,04/30 /2019,Early Stages A-M,Friends hip Public Char te r,0,04/30 /2019,digits,Other/failed to parse
7869,Friends hip Public Charter,2019-0113,04/30 /2019,Early Stages A-M,Schoo l (all campus es),0,04/30 /2019,digits,Other/failed to parse
7870,E.L. Haynes PCS,2019-0117,05/01/2019,Early Stages A-M,Wilson Senior High School,0,05/01/2019,digits,Other/failed to parse
7871,Friendship Publ ic Charter Schoo l (all campuses),2019-0118,05/01/2019,Early Stages A-M,Wilson Senior High School,0,05/01/2019,digits,Other/failed to parse
7872,Friendship Publ ic Charter Schoo l (all campuses),2019-0118,05/01/2019,Eastern High School,Wilson Senior High School,0,05/01/2019,digits,Other/failed to parse
7873,Friendship Publ ic Charter Schoo l (all campuses),2019-0118,05/ 02/2 019,Eastern High School,Wilson Senior High School,0,05/ 02/2 019,digits,Other/failed to parse
7874,Eastern High Schoo l,2019-0119,05/ 02/2 019,Eastern High School,Wilson Senior High School,0,05/ 02/2 019,digits,Other/failed to parse
7875,Eastern High Schoo l,2019-0119,05/ 02/2 019,Deal Midd le School,Wilson Senior High School,0,05/ 02/2 019,digits,Other/failed to parse
