,attending_school,case_no,casetype,dcps_school_against,home_school,failed_parse,casetype_clean_init,casetype_isdigits,casetype_final
806,High Road DC A-M,2012-0378,05/17/2012,Simon Elementa ry Schoo l,"s;c■ .;u.;;,;;- ~'-'t-' ""'",0,05/17/2012,digits,Other/failed to parse
807,Accot ink Acade my,2012--0380,05/17/2012,Accotink Academy,"s;c■ .;u.;;,;;- ~'-'t-' ""'",0,05/17/2012,digits,Other/failed to parse
808,Accot ink Acade my,2012--0380,05/18/20 12,Accotink Academy,"s;c■ .;u.;;,;;- ~'-'t-' ""'",0,05/18/20 12,digits,Other/failed to parse
809,Bridges PCS,2012--0381,05/18/20 12,Accotink Academy,Tubman Elem entary School,0,05/18/20 12,digits,Other/failed to parse
810,Non-Attend,2012-0384,05/18/20 12,Spingarn Senior High School,Spingarn Senior High School,0,05/18/20 12,digits,Other/failed to parse
811,Ach ievemen t Prep Academy Publ ic Charte r School,2012--0385,05/18/20 12,Spingarn Senior High School,"--- ~- .""."""" . , c μ -•""""""",0,05/18/20 12,digits,Other/failed to parse
812,Ach ievemen t Prep Academy Publ ic Charte r School,2012--0385,05/18/20 12,Spingarn Senio r High School,"--- ~- .""."""" . , c μ -•""""""",0,05/18/20 12,digits,Other/failed to parse
813,Ach ievemen t Prep Academy Publ ic Charte r School,2012--0385,05/2 1/2012,Spingarn Senio r High School,"--- ~- .""."""" . , c μ -•""""""",0,05/2 1/2012,digits,Other/failed to parse
814,Ach ievemen t Prep Academy Publ ic Charte r School,2012--0385,05/2 1/2012,Spingarn Senior High School,"--- ~- .""."""" . , c μ -•""""""",0,05/2 1/2012,digits,Other/failed to parse
815,Spingarn Senior High School,2012--0382,05/2 1/2012,Spingarn Senior High School,"--- ~- .""."""" . , c μ -•""""""",0,05/2 1/2012,digits,Other/failed to parse
816,Spingarn Senior High School,2012--0382,05/2 1/2012,Spingarn Senio r High Schoo l,"--- ~- .""."""" . , c μ -•""""""",0,05/2 1/2012,digits,Other/failed to parse
822,05/2 9/2012,05/2 9/2012,05/2 9/2012,CARE Center at Shaw JHS-EC,05/2 9/2012,0,05/2 9/2012,digits,Other/failed to parse
1346,Non -Attend,2012--0641,""" ""~•--- • - •~""",Spingarn Senior High School,Spingarn Senior High School,0,""" ""~•--- • - •~""",no_digits,Other/failed to parse
1347,Roosevel t High Schoo l,2012--0646,""" ""~•--- • - •~""",Roosevelt High School,Ballou Senior High Schoo l,0,""" ""~•--- • - •~""",no_digits,Other/failed to parse
1409,W ilson Senior High School,2012--0676,09/27/2012,Wilson Senior High School,Wilson Senior High School,0,09/27/2012,digits,Other/failed to parse
1410,The Harbour School,2012--0678,09/27/2012,Kingsbury Day School,Wilson Senior High School,0,09/27/2012,digits,Other/failed to parse
1411,The Harbour School,2012--0678,09/27/2012,Aiton Elementary School,Wilson Senior High School,0,09/27/2012,digits,Other/failed to parse
1412,Aiton Eleme ntary School,2012--0679,09/27/2012,Aiton Elementary School,Wilson Senior High School,0,09/27/2012,digits,Other/failed to parse
1413,Aiton Eleme ntary School,2012--0679,09/27/2012,Non-Attending,Wilson Senior High School,0,09/27/2012,digits,Other/failed to parse
1414,Non-At tend ing,2012-0684,09/27/2012,Non-Attending,Hardy MS@ Hami lton School,0,09/27/2012,digits,Other/failed to parse
1415,Non-At tend ing,2012-0684,09/27/2012,Murch Elementary School,Hardy MS@ Hami lton School,0,09/27/2012,digits,Other/failed to parse
1416,Murc h Elementary School,2012--0682,09/27/2012,Murch Elementary School,Hardy MS@ Hami lton School,0,09/27/2012,digits,Other/failed to parse
1417,Murc h Elementary School,2012--0682,09/27/2012,Mur ch Elementa ry School,Hardy MS@ Hami lton School,0,09/27/2012,digits,Other/failed to parse
1418,Murc h Elementary School,2012--0682,09/27/2012,Ballou Senior High School,Hardy MS@ Hami lton School,0,09/27/2012,digits,Other/failed to parse
1419,Ballou Senior High School,2012--0680,09/27/2012,Ballou Senior High School,Ballou Senior High School,0,09/27/2012,digits,Other/failed to parse
1420,Ballou Senior High School,2012--0680,09/28/2012,Spingarn Senior High School,Ballou Senior High School,0,09/28/2012,digits,Other/failed to parse
1421,Spingarn Senior High School,2012-068 1,09/28/2012,Spingarn Senior High School,Roosevel t 5.T.A.Y High School,0,09/28/2012,digits,Other/failed to parse
1422,M urch Elementa ry School,2012-0683,09/28/2012,Murch Elementary School,Roosevel t 5.T.A.Y High School,0,09/28/2012,digits,Other/failed to parse
1423,M urch Elementa ry School,2012-0683,09/28/2012,Roosevelt High School,Roosevel t 5.T.A.Y High School,0,09/28/2012,digits,Other/failed to parse
1424,Non-Attend,2012-0685,09/28/2012,Roosevelt High School,Ballou Senior High School,0,09/28/2012,digits,Other/failed to parse
1425,Non-Attend,2012-0685,09/28/2012,Stanton Elementary School,Ballou Senior High School,0,09/28/2012,digits,Other/failed to parse
1426,Non-Attend,2012-0685,09/28/2012,Sta nton Elementary School,Ballou Senior High School,0,09/28/2012,digits,Other/failed to parse
1427,Stanton Elementa ry School,2012-0687,09/28/2012,Sta nton Elementary School,Ballou Senior High School,0,09/28/2012,digits,Other/failed to parse
1428,Stanton Elementa ry School,2012-0687,09/28/2012,Stanton Elementary School,Ballou Senior High School,0,09/28/2012,digits,Other/failed to parse
1429,Stanton Elementa ry School,2012-0687,10/01/2012,Stanton Elementary School,Ballou Senior High School,0,10/01/2012,digits,Other/failed to parse
1430,Stanton Elementa ry School,2012-0687,10/01/2012,Mo ten Elementary School @ Wilkinson,Ballou Senior High School,0,10/01/2012,digits,Other/failed to parse
1431,Moten Elementary School @ Wi lkinson,2012--0686,10/01/2012,Moten Elementary School @ Wilkinson,Ballou Senior High School,0,10/01/2012,digits,Other/failed to parse
1432,Moten Elementary School @ Wi lkinson,2012--0686,10/01/2012,Mclea n School,Ballou Senior High School,0,10/01/2012,digits,Other/failed to parse
1433,M clean School,2012-0688,10/01/2012,Mcl ean School,Wilson Senior High School,0,10/01/2012,digits,Other/failed to parse
1434,M clean School,2012-0688,10/01/2012,Choice Academy MS/SHS - HOME SCHOOL,Wilson Senior High School,0,10/01/2012,digits,Other/failed to parse
1435,M clean School,2012-0688,10/ 02/ 2012,Choice Academy MS/SHS - HOME SCHOOL,Wilson Senior High School,0,10/ 02/ 2012,digits,Other/failed to parse
1436,M clean School,2012-0688,10/ 02/ 2012,Choice Academy MS/SHS • HOME SCHOOL,Wilson Senior High School,0,10/ 02/ 2012,digits,Other/failed to parse
1437,Choice Academy MS/SHS - HOME SCHOOL,2012-0689,10/ 02/ 2012,Choice Academy MS/SHS - HOME SCHOOL,Shaw MS @ Garnet-Pat terson,0,10/ 02/ 2012,digits,Other/failed to parse
1438,Choice Academy MS/SHS - HOME SCHOOL,2012-0689,10/ 02/ 2012,Eliot -Hine Middle School,Shaw MS @ Garnet-Pat terson,0,10/ 02/ 2012,digits,Other/failed to parse
1439,Eliot -Hine M iddle School,2012-0690,10/ 02/ 2012,El iot-H ine Mi ddle School,Eliot -Hine M iddle School,0,10/ 02/ 2012,digits,Other/failed to parse
1440,Eliot -Hine M iddle School,2012-0690,10/ 02/ 2012,Eliot -Hine M iddle School,Eliot -Hine M iddle School,0,10/ 02/ 2012,digits,Other/failed to parse
1441,Eliot -Hine M iddle School,2012-0690,10/ 02/ 2012,Spingarn Senior High School,Eliot -Hine M iddle School,0,10/ 02/ 2012,digits,Other/failed to parse
1473,10/ 12/2012,10/ 12/2012,10/ 12/2012,Malco lm X ES,10/ 12/2012,0,10/ 12/2012,digits,Other/failed to parse
1474,10/ 12/2012,10/ 12/2012,10/ 12/2012,Cardozo High Schoo l,10/ 12/2012,0,10/ 12/2012,digits,Other/failed to parse
1548,-- ... ..,11/02/2012,11/02/2012,11/02/2012,11/02/2012,0,11/02/2012,digits,Other/failed to parse
1549,-- ... ..,11/02/2012,11/02/2012,John Burroughs EC,11/02/2012,0,11/02/2012,digits,Other/failed to parse
1550,-- ... ..,11/02/2012,11/02/2012,Bright wood EC,11/02/2012,0,11/02/2012,digits,Other/failed to parse
1619,11/29/2012,11/29/2012,11/29/2012,Johnson MS,11/29/2012,0,11/29/2012,digits,Other/failed to parse
1620,11/29/2012,11/29/2012,11/29/2012,Wa lker-Jones/Tur ner EC,11/29/2012,0,11/29/2012,digits,Other/failed to parse
1621,11/29/2012,11/29/2012,11/29/2012,Wa lker-Jones/Tu rner EC,11/29/2012,0,11/29/2012,digits,Other/failed to parse
1649,12/11/20 12,12/11/20 12,12/11/20 12,12/11/20 12,Incarcerated Yout h Prog ram,0,12/11/20 12,digits,Other/failed to parse
1679,12/26/2012,12/26/2012,12/27/2012,Hart Middle School,12/26/2012,0,12/27/2012,digits,Other/failed to parse
1680,12/26/2012,12/26/2012,12/27/2012,Hart M iddle School,12/26/2012,0,12/27/2012,digits,Other/failed to parse
1681,12/26/2012,12/26/2012,12/27/2012,Sousa M iddle School,12/26/2012,0,12/27/2012,digits,Other/failed to parse
1682,Sousa M iddle School,2012-0842,12/27/2012,Sousa M iddle School,12/26/2012,0,12/27/2012,digits,Other/failed to parse
1683,Sousa M iddle School,2012-0842,12/27/2012,Ludlow-Taylor ES,12/26/2012,0,12/27/2012,digits,Other/failed to parse
1684,Ludlow-Tay lor ES,2013-0005,12/27/2012,Ludlow-Taylor ES,Ludlow-Tay lor ES,0,12/27/2012,digits,Other/failed to parse
1685,Macfa rland M iddle School,2012-0844,12/27/2012,Macfarland M iddle School,Ronald H. Brow n MS,0,12/27/2012,digits,Other/failed to parse
1686,Macfa rland M iddle School,2012-0844,12/27/2012,Shaw MS@ Garnet -Patterson,Ronald H. Brow n MS,0,12/27/2012,digits,Other/failed to parse
1687,Shaw MS@ Garnet- Patt erson,2012-0848,12/27/2012,Shaw MS@ Garnet -Patterson,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1688,Shaw MS@ Garnet- Patt erson,2012-0848,12/27/2012,Shaw MS@ Garnet-Patterson,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1689,Shaw MS@ Garnet- Patt erson,2012-0848,12/27/2012,Woodson Academy@ Ron Brown,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1690,Shaw MS@ Garnet- Patt erson,2012-0848,12/27/2012,Woodson Academy @ Ron Brown,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1691,Woodson Academy @ Ron Brown,2012-0846,12/27/2012,Woodson Academy@ Ron Brown,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1692,Woodson Academy @ Ron Brown,2012-0846,12/27/2012,Woodson Academy @ Ron Brown,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1693,Woodson Academy @ Ron Brown,2012-0846,12/27/2012,Hart Middle School,Shaw MS @ Garnet-Patterson,0,12/27/2012,digits,Other/failed to parse
1694,Woodson Academy @ Ron Brown,2012-0846,12/28/2012,Hart M iddle School,Shaw MS @ Garnet-Patterson,0,12/28/2012,digits,Other/failed to parse
1695,Woodson Academy @ Ron Brown,2012-0846,12/28/2012,Hart Midd le School,Shaw MS @ Garnet-Patterson,0,12/28/2012,digits,Other/failed to parse
1696,Hart M iddle School,2012-0847,12/28/2012,Hart Midd le School,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1697,Hart M iddle School,2012-0847,12/28/2012,Hart M iddle School,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1698,Hart M iddle School,2012-0847,12/28/2012,Murch Elementary School,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1699,Murch Elementary School,2012-0850,12/28/2012,Murch Elementary School,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1700,Murch Elementary School,2012-0850,12/28/2012,Murc h Elementa ry School,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1701,Hart M iddle School,2012-0847-B,12/28/2012,Hart Middle School,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1702,Hart M iddle School,2012-0847-B,12/28/2012,Spingarn Stay SHS,Hart M iddle Schoo l,0,12/28/2012,digits,Other/failed to parse
1703,Spingarn Stay SHS,2012-085 1,12/28/2012,Spingarn Stay SHS,cardozo High School,0,12/28/2012,digits,Other/failed to parse
1704,Spingarn Stay SHS,2012-085 1,12/28/2012,LaSalle-Backus EC,cardozo High School,0,12/28/2012,digits,Other/failed to parse
1705,LaSalle-Backus EC,2012-0849,12/28/2012,LaSalle-Backus EC,Brookland ES @ Bunker Hill,0,12/28/2012,digits,Other/failed to parse
1706,Achievement Prep Academy Public Charter School,2012-0845,12/28/2012,LaSalle-Backus EC,Brookland ES @ Bunker Hill,0,12/28/2012,digits,Other/failed to parse
1707,Pathways,2013-0003,12/28/2012,LaSalle-Backus EC,Brookland ES @ Bunker Hill,0,12/28/2012,digits,Other/failed to parse
1708,Pathways,2013-0003,12/28/2012,Anacost ia Senior High School,Brookland ES @ Bunker Hill,0,12/28/2012,digits,Other/failed to parse
1709,Non-Attend ing,2013-0004,12/28/2012,Anacost ia Senior High School,Anacost ia Senior High School,0,12/28/2012,digits,Other/failed to parse
1710,Non-Attend ing,2013-0004,01/02/ 2013,Anacost ia Senior High Schoo l,Anacost ia Senior High School,0,01/02/ 2013,digits,Other/failed to parse
1711,Non-Attend ing,2013-0004,01/02/ 2013,Mo nroe School,Anacost ia Senior High School,0,01/02/ 2013,digits,Other/failed to parse
1712,Monroe School,2013-000 1,01/02/ 2013,Mo nroe School,Anacost ia Senior High School,0,01/02/ 2013,digits,Other/failed to parse
1713,Monroe School,2013-000 1,01/02/ 2013,Mon roe Schoo l,Anacost ia Senior High School,0,01/02/ 2013,digits,Other/failed to parse
1714,Monroe School,2013-000 1,01/02/ 2013,Tyler Elementary School,Anacost ia Senior High School,0,01/02/ 2013,digits,Other/failed to parse
1715,Tyler Elementary School,2013-0010,01/02/ 2013,Tyler Elementary School,Tyler Elementary School,0,01/02/ 2013,digits,Other/failed to parse
1716,Accot ink Academy,2013-0006,01/04/2013,Accotink Academy,Perry Street Preparatory PCS,0,01/04/2013,digits,Other/failed to parse
1717,Cesar Chavez PCS,2013-0008,01/04/2013,Accotink Academy,Ballou Senior High School,0,01/04/2013,digits,Other/failed to parse
1718,Lab School of Washington,2013-0007,01/04/2013,Accotink Academy,Coolidge High School,0,01/04/2013,digits,Other/failed to parse
1719,DC Preparatory,2013-00lS,01/04/2013,Accotink Academy,Spingarn Senior High School,0,01/04/2013,digits,Other/failed to parse
1720,DC Preparatory,2013-00lS,01/04/2013,Murch Elementary School,Spingarn Senior High School,0,01/04/2013,digits,Other/failed to parse
1721,Lab School of Washington,2013-00 14,01/04/2013,Murch Elementary School,Stoddert ES,0,01/04/2013,digits,Other/failed to parse
1722,Lab School of Washington,2013-00 14,01/04/2013,Cardozo High School,Stoddert ES,0,01/04/2013,digits,Other/failed to parse
1723,Cardozo High School,2013-0009,01/04/2013,Cardozo High School,Cardozo High School,0,01/04/2013,digits,Other/failed to parse
1724,Cardozo High School,2013-0009,01/07/2013,Cardozo High School,Cardozo High School,0,01/07/2013,digits,Other/failed to parse
1725,Commonwea lth Academy,2013-00 12,01/07/2013,Cardozo High School,Cardozo High School,0,01/07/2013,digits,Other/failed to parse
1726,Commonwea lth Academy,2013-00 12,01/07/2013,Oyster Adams Bi lingual,Cardozo High School,0,01/07/2013,digits,Other/failed to parse
1727,Commonwea lth Academy,2013-00 12,01/07/2013,Oyster Adams Bilingual,Cardozo High School,0,01/07/2013,digits,Other/failed to parse
1728,Oyster Adams Bilingual,2013-0011,01/07/2013,Oyster Adams Bilingual,LaSalle-Backus EC,0,01/07/2013,digits,Other/failed to parse
1729,Oyster Adams Bilingual,2013-0011,01/07/2013,Oyster Adams Bilingua l,LaSalle-Backus EC,0,01/07/2013,digits,Other/failed to parse
1730,Oyster Adams Bilingual,2013-0011,01/07/2013,Oyster Adams Bi lingual,LaSalle-Backus EC,0,01/07/2013,digits,Other/failed to parse
1731,Oyster Adams Bilingual,2013-0011,01/07/2013,Oyste r Adams Bilingua l,LaSalle-Backus EC,0,01/07/2013,digits,Other/failed to parse
1868,02/ 14/20 13,02/ 14/20 13,02/ 14/20 13,Sousa M iddle School,02/ 14/20 13,0,02/ 14/20 13,digits,Other/failed to parse
1924,cardozo High Schoo l,2013-0105,02/26/2013,Cardozo High School,Garfiel d ES,0,02/26/2013,digits,Other/failed to parse
1925,cardozo High Schoo l,2013-0105,02/26/2013,Spingarn Senior High School,Garfiel d ES,0,02/26/2013,digits,Other/failed to parse
1926,Spingarn Senior High School,2013-0102,02/26/2013,Spingarn Senior High School,Garfiel d ES,0,02/26/2013,digits,Other/failed to parse
1927,Spingarn Senior High School,2013-0102,02/26/2013,Anacost ia Senior High School,Garfiel d ES,0,02/26/2013,digits,Other/failed to parse
1928,Spingarn Senior High School,2013-0102,02/26/2013,Anacostia Senior High School,Garfiel d ES,0,02/26/2013,digits,Other/failed to parse
1929,Anacostia Senior High School,2013-0104,02/26/2013,Anacostia Senior High School,Anacost ia Senior High School,0,02/26/2013,digits,Other/failed to parse
1930,Anacostia Senior High School,2013-0104,02/26/2013,Anacost ia Senior High School,Anacost ia Senior High School,0,02/26/2013,digits,Other/failed to parse
1931,Anacostia Senior High School,2013-0104,02/26/2013,Seaton Elementary School,Anacost ia Senior High School,0,02/26/2013,digits,Other/failed to parse
1932,Seaton Elementary School,2013-0106,02/26/2013,Seaton Elementary School,Seaton Elementary School,0,02/26/2013,digits,Other/failed to parse
1933,Seaton Elementary School,2013-0106,02/26/2013,Seaton Eleme nta ry School,Seaton Elementary School,0,02/26/2013,digits,Other/failed to parse
1934,Seaton Elementary School,2013-0106,"....... '""6' 02/27/2013",Seaton Eleme nta ry School,Seaton Elementary School,0,"....... '""6' 02/27/2013",no_digits,Other/failed to parse
1935,Spingarn Senior High School,"'""0' 2013-010 7","....... '""6' 02/27/2013",Seaton Eleme nta ry School,Spingarn Senior High School,0,"....... '""6' 02/27/2013",no_digits,Other/failed to parse
1936,Spingarn Senior High School,"'""0' 2013-010 7","....... '""6' 02/27/2013",Miner Elementary,Spingarn Senior High School,0,"....... '""6' 02/27/2013",no_digits,Other/failed to parse
1937,Miner Elementary,2013-0108,"....... '""6' 02/27/2013",Miner Elementary,Spingarn Senior High School,0,"....... '""6' 02/27/2013",no_digits,Other/failed to parse
1938,Miner Elementary,2013-0108,"....... '""6' 02/27/2013",Miner Elemen tary,Spingarn Senior High School,0,"....... '""6' 02/27/2013",no_digits,Other/failed to parse
1939,Roosevelt High School,2013-0 111,"....... '""6' 02/27/2013",Miner Elemen tary,Youth Build PCS (LAY C),0,"....... '""6' 02/27/2013",no_digits,Other/failed to parse
1940,Roosevelt High School,2013-0 111,02/28/2013,Miner Elemen tary,Youth Build PCS (LAY C),0,02/28/2013,digits,Other/failed to parse
1941,Roosevelt High School,2013-0 111,02/28/2013,Johnson MS,Youth Build PCS (LAY C),0,02/28/2013,digits,Other/failed to parse
1942,OTHER,2013-0110,02/28/2013,Johnson MS,Johnson MS,0,02/28/2013,digits,Other/failed to parse
1943,OTHER,2013-0110,02/28/2013,Langdon Elementary School,Johnson MS,0,02/28/2013,digits,Other/failed to parse
1947,03/05/20 13,03/05/20 13,03/05/20 13,Dunbar High Schoo l,03/05/20 13,0,03/05/20 13,digits,Other/failed to parse
1948,03/05/20 13,03/05/20 13,03/05/20 13,Dunbar High School,03/05/20 13,0,03/05/20 13,digits,Other/failed to parse
1949,03/05/20 13,03/05/20 13,03/05/20 13,Dunba r High Schoo l,03/05/20 13,0,03/05/20 13,digits,Other/failed to parse
2456,06/ 12/2013,06/ 12/2013,06/ 12/2013,"Harris, C.W. ES",06/ 12/2013,0,06/ 12/2013,digits,Other/failed to parse
2507,06/26/2013,06/26/2013,06/26/2013,Prospect LC,06/26/2013,0,06/26/2013,digits,Other/failed to parse
2508,06/26/2013,06/26/2013,06/26/2013,Kimba ll Elementary Schoo l,06/26/2013,0,06/26/2013,digits,Other/failed to parse
2715,"T11rn g,..- fnl l:ragn t:l gmgn t :.in, <:;r-hnn l",",n1~ .t Mf;..A",.4a:::ind I i: 6,Turne r @ Green Elementary,Rand le-H ighlands ES,0,.4a:::ind I i: 6,no_digits,Other/failed to parse
3117,11/27/2013,...,11/27/2013,11/27/2013,11/27/2013,0,11/27/2013,digits,Other/failed to parse
3118,11/27/2013,...,11/27/2013,"Harris, C.W. ES",11/27/2013,0,11/27/2013,digits,Other/failed to parse
3119,11/27/2013,...,11/27/2013,"Harr is, C.W. ES",11/27/2013,0,11/27/2013,digits,Other/failed to parse
3120,11/27/2013,...,11/27/2013,Parkmo unt Schoo l,11/27/2013,0,11/27/2013,digits,Other/failed to parse
3121,11/27/2013,...,11/27/2013,Parkmo unt School,11/27/2013,0,11/27/2013,digits,Other/failed to parse
3518,03/ 25/2014,03/ 25/2014,03/ 25/2014,Mo nroe Schoo l,03/ 25/2014,0,03/ 25/2014,digits,Other/failed to parse
3546,cardozo High School,2014-0154,. . -,Johnson MS,Hyde ES,0,. . -,no_digits,Other/failed to parse
3547,cardozo High School,2014-0154,. . -,Lab Schoo l of Wash ington,Hyde ES,0,. . -,no_digits,Other/failed to parse
3548,Lab School of Was hingto n,2014--0156,. . -,Lab School of Wash ington,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3549,Lab School of Was hingto n,2014--0156,. . -,Lab Schoo l of Wash ington,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3550,Lab School of Was hingto n,2014--0156,. . -,Ballou STAY,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3551,Ballou STAY,2014--0160,. . -,Ballou STAY,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3552,Ballou STAY,2014--0160,. . -,Jeff erson MS,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3553,Ballou STAY,2014--0160,. . -,Jefferson MS,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3554,Jefferson,2014--0157,. . -,Jefferson MS,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3555,Jefferson,2014--0157,. . -,Jeff erson MS,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3556,Jefferson,2014--0157,. . -,El iot-H ine Middle School,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3557,Jefferson,2014--0157,. . -,Eliot -Hine Middle School,Deal M iddle Schoo l,0,. . -,no_digits,Other/failed to parse
3558,Eliot -Hine M idd le School,2014--0159,. . -,Eliot-H ine Middle Schoo l,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3559,Eliot -Hine M idd le School,2014--0159,. . -,El iot -Hine Middle Schoo l,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3560,Eliot -Hine M idd le School,2014--0159,. . -,El iot-H ine Middle School,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3561,Eliot -Hine M idd le School,2014--0159,. . -,Kelly M iller MS,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3562,Eliot -Hine M idd le School,2014--0159,. . -,Kelly M iller M S,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3563,Kelly M il ler MS,2014--0158,. . -,Kelly M iller M S,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3564,Kelly M il ler MS,2014--0158,. . -,Kelly M iller MS,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3565,Kelly M il ler MS,2014--0158,. . -,Wilson Senior High School,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3566,W ilson Senior High Schoo l,2014--0164,. . -,Wilson Senior High School,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3567,W ilson Senior High Schoo l,2014--0164,. . -,Wi lson Senior High School,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3568,W ilson Senior High Schoo l,2014--0164,. . -,Key Elementary School,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3569,W ilson Senior High Schoo l,2014--0164,. . -,Key Eleme ntary School,Eliot -Hine M idd le School,0,. . -,no_digits,Other/failed to parse
3570,OTHER,2014--0162,. . -,Key Eleme ntary School,Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3571,OTHER,2014--0162,. . -,Key Elementary School,Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3572,OTHER,2014--0162,. . -,Youth Build PCS (LAYC),Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3573,Youth Bui ld PCS( LAYC),2014-0168,. . -,Youth Build PCS (LAYC),Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3574,Youth Bui ld PCS( LAYC),2014-0168,. . -,Youth Build PCS (LAY C),Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3575,Youth Bui ld PCS( LAYC),2014-0168,. . -,Turne r@ Green Elementary,Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3576,Youth Bui ld PCS( LAYC),2014-0168,. . -,Turne r @ Green Elementary,Key Eleme ntary School,0,. . -,no_digits,Other/failed to parse
3647,Lab School of Was hingto n,2014--0197,04/17/2014,HD Cooke Elementary School,Man n Elementary School,0,04/17/2014,digits,Other/failed to parse
3648,HD Cooke Elementary,2014--0201,04/17/2014,HD Cooke Elementary School,Man n Elementary School,0,04/17/2014,digits,Other/failed to parse
3649,HD Cooke Elementary,2014--0201,04/17/2014,HO Cooke Elementary School,Man n Elementary School,0,04/17/2014,digits,Other/failed to parse
3650,HD Cooke Elementary,2014--0201,04/17/2014,Beers Elementary School,Man n Elementary School,0,04/17/2014,digits,Other/failed to parse
3651,Beers Elementary,2014--0200,04/17/2014,Beers Elementary School,Beers Elementar y School,0,04/17/2014,digits,Other/failed to parse
3652,KIPP (All Campuses),2014--0196,04/17/2014,Beers Elementary School,Houston Eleme ntary School,0,04/17/2014,digits,Other/failed to parse
3653,KIPP (All Campuses),2014--0196,04/17/2014,Wa lker-Jones/Tu rner EC,Houston Eleme ntary School,0,04/17/2014,digits,Other/failed to parse
3654,Walker -Jones/T urne r EC,2014--0202,04/18/2014,Wa lker-Jones/Tu rner EC,Walker -Jones/T urne r EC,0,04/18/2014,digits,Other/failed to parse
3655,Walker -Jones/T urne r EC,2014--0202,04/18/2014,Wa lker-Jones/Turner EC,Walker -Jones/T urne r EC,0,04/18/2014,digits,Other/failed to parse
3656,Walker -Jones/T urne r EC,2014--0202,04/18/2014,Sousa M idd le School,Walker -Jones/T urne r EC,0,04/18/2014,digits,Other/failed to parse
3657,Sousa Middle,2014--0203,04/21/20 14,Sousa M idd le School,Kelly Miller MS,0,04/21/20 14,digits,Other/failed to parse
3658,Sousa Middle,2014--0203,04/21/20 14,Thomas Elementary School,Kelly Miller MS,0,04/21/20 14,digits,Other/failed to parse
3659,Thomas Elementary Schoo l,2014--0204,04/23/20 14,Thomas Elementary School,Thomas Elementary Schoo l,0,04/23/20 14,digits,Other/failed to parse
3660,Thomas Elementary Schoo l,2014--0204,04/23/20 14,Thomas Elementa ry Schoo l,Thomas Elementary Schoo l,0,04/23/20 14,digits,Other/failed to parse
3661,Thomas Elementary Schoo l,2014--0204,04/23/20 14,Thomas Elementary Schoo l,Thomas Elementary Schoo l,0,04/23/20 14,digits,Other/failed to parse
3662,Thomas Elementary Schoo l,2014--0204,04/23/20 14,Simon Elementary School,Thomas Elementary Schoo l,0,04/23/20 14,digits,Other/failed to parse
3663,Simon Elementary,2014--0205,04/25/2014,Simon Elementary School,Leckie Elemen tary Schoo l,0,04/25/2014,digits,Other/failed to parse
3664,Simon Elementary,2014--0205,04/25/2014,Simon Eleme ntary School,Leckie Elemen tary Schoo l,0,04/25/2014,digits,Other/failed to parse
