YEAR,STATE,AGE_3_21_TOTAL
2008,VERMONT,
2008,VIRGINIA,166689
2008,WASHINGTON,125334
2008,WEST VIRGINIA,46978
2008,WISCONSIN,125304
2008,WYOMING,14767
2009,ALABAMA,82997
2009,ALASKA,17893
2009,ARIZONA,125866
2009,ARKANSAS,65039
2009,CALIFORNIA,673428
2009,COLORADO,83765
2009,CONNECTICUT,68738
2009,DELAWARE,19348
2009,DISTRICT OF COLUMBIA,11371
2009,FLORIDA,376576
2009,GEORGIA,177070
2009,HAWAII,19957
2009,IDAHO,27787
2009,ILLINOIS,313583
2009,INDIANA,172095
2009,IOWA,66636
2009,KANSAS,66219
2009,KENTUCKY,106045
2009,LOUISIANA,85119
2009,MAINE,32766
2009,MARYLAND,103018
2009,MASSACHUSETTS,167297
2009,MICHIGAN,227973
2009,MINNESOTA,121359
2009,MISSISSIPPI,63988
2009,MISSOURI,129886
2009,MONTANA,17213
2009,NEBRASKA,43470
2009,NEVADA,48115
2009,NEW HAMPSHIRE,30210
2009,NEW JERSEY,229066
2009,NEW MEXICO,45782
2009,NEW YORK,461470
2009,NORTH CAROLINA,184893
2009,NORTH DAKOTA,13262
2009,OHIO,263396
2009,OKLAHOMA,95186
2009,OREGON,80062
2009,PENNSYLVANIA,294595
2009,RHODE ISLAND,26332
2009,SOUTH CAROLINA,101039
2009,SOUTH DAKOTA,17907
2009,TENNESSEE,119016
2009,TEXAS,444198
2009,UTAH,67781
2009,VERMONT,14163
2009,VIRGINIA,164771
2009,WASHINGTON,126024
2009,WEST VIRGINIA,46169
2009,WISCONSIN,125503
2009,WYOMING,15098
2010,ALABAMA,82286
2010,ALASKA,18048
2010,ARIZONA,125816
2010,ARKANSAS,64881
2010,CALIFORNIA,672174
2010,COLORADO,84710
2010,CONNECTICUT,68167
2010,DELAWARE,18608
2010,DISTRICT OF COLUMBIA,11947
2010,FLORIDA,368808
2010,GEORGIA,177544
2010,HAWAII,19716
2010,IDAHO,27388
2010,ILLINOIS,302830
2010,INDIANA,166073
2010,IOWA,68501
2010,KANSAS,66873
2010,KENTUCKY,102370
2010,LOUISIANA,82943
2010,MAINE,32261
2010,MARYLAND,103490
2010,MASSACHUSETTS,167526
2010,MICHIGAN,218957
2010,MINNESOTA,122850
2010,MISSISSIPPI,64038
2010,MISSOURI,127164
2010,MONTANA,16761
2010,NEBRASKA,44299
2010,NEVADA,48148
2010,NEW HAMPSHIRE,29920
2010,NEW JERSEY,232002
2010,NEW MEXICO,46628
2010,NEW YORK,454542
2010,NORTH CAROLINA,185107
2010,NORTH DAKOTA,13170
2010,OHIO,259454
2010,OKLAHOMA,97250
2010,OREGON,81050
2010,PENNSYLVANIA,295080
2010,RHODE ISLAND,25332
2010,SOUTH CAROLINA,100289
2010,SOUTH DAKOTA,18026
2010,TENNESSEE,120263
2010,TEXAS,442019
2010,UTAH,70278
2010,VERMONT,13936
2010,VIRGINIA,162338
2010,WASHINGTON,127978
2010,WEST VIRGINIA,45007
2010,WISCONSIN,124722
2010,WYOMING,15348
2011,ALABAMA,80149
2011,ALASKA,18055
2011,ARIZONA,127198
2011,ARKANSAS,64790
2011,CALIFORNIA,679269
2011,COLORADO,87233
2011,CONNECTICUT,68280
2011,DELAWARE,19166
2011,DISTRICT OF COLUMBIA,12536
2011,FLORIDA,358922
2011,GEORGIA,179423
2011,HAWAII,19605
2011,IDAHO,26864
2011,ILLINOIS,292956
2011,INDIANA,164147
2011,IOWA,67990
2011,KANSAS,65809
2011,KENTUCKY,98785
2011,LOUISIANA,82301
2011,MAINE,32078
2011,MARYLAND,103563
2011,MASSACHUSETTS,166236
2011,MICHIGAN,210034
2011,MINNESOTA,123353
2011,MISSISSIPPI,64334
2011,MISSOURI,125075
2011,MONTANA,16032
2011,NEBRASKA,44829
2011,NEVADA,49117
2011,NEW HAMPSHIRE,29422
2011,NEW JERSEY,223935
2011,NEW MEXICO,46555
2011,NEW YORK,452319
2011,NORTH CAROLINA,187767
2011,NORTH DAKOTA,13093
2011,OHIO,259064
2011,OKLAHOMA,98960
2011,OREGON,81718
2011,PENNSYLVANIA,294963
2011,RHODE ISLAND,24826
2011,SOUTH CAROLINA,99624
2011,SOUTH DAKOTA,18005
2011,TENNESSEE,124070
2011,TEXAS,439675
2011,UTAH,71233
2011,VERMONT,13833
2011,VIRGINIA,161198
2011,WASHINGTON,129346
2011,WEST VIRGINIA,44259
2011,WISCONSIN,123825
2011,WYOMING,15419
2012,ALABAMA,79705
2012,ALASKA,17959
2012,ARIZONA,128281
2012,ARKANSAS,64698
2012,CALIFORNIA,688346
2012,COLORADO,89280
2012,CONNECTICUT,69730
2012,DELAWARE,19224
2012,DISTRICT OF COLUMBIA,12585
2012,FLORIDA,354352
2012,GEORGIA,185037
2012,HAWAII,19696
2012,IDAHO,27086
2012,ILLINOIS,292430
2012,INDIANA,168815
2012,IOWA,65882
2012,KANSAS,67369
2012,KENTUCKY,97555
2012,LOUISIANA,81238
2012,MAINE,32194
2012,MARYLAND,103429
2012,MASSACHUSETTS,166437
2012,MICHIGAN,203427
2012,MINNESOTA,123785
2012,MISSISSIPPI,64860
2012,MISSOURI,123655
2012,MONTANA,16450
2012,NEBRASKA,45564
2012,NEVADA,50332
2012,NEW HAMPSHIRE,29329
2012,NEW JERSEY,232317
2012,NEW MEXICO,46498
2012,NEW YORK,450794
2012,NORTH CAROLINA,190098
2012,NORTH DAKOTA,13234
2012,OHIO,255953
2012,OKLAHOMA,100893
2012,OREGON,82183
2012,PENNSYLVANIA,295502
2012,RHODE ISLAND,24165
2012,SOUTH CAROLINA,99530
2012,SOUTH DAKOTA,18316
2012,TENNESSEE,127407
2012,TEXAS,439635
2012,UTAH,78270
2012,VERMONT,13873
2012,VIRGINIA,161498
2012,WASHINGTON,130778
2012,WEST VIRGINIA,44487
2012,WISCONSIN,123287
2012,WYOMING,11883
2013,ALABAMA,80803
2013,ALASKA,17920
2013,ARIZONA,129801
2013,ARKANSAS,65166
2013,CALIFORNIA,698947
2013,COLORADO,90904
2013,CONNECTICUT,70785
2013,DELAWARE,18717
2013,DISTRICT OF COLUMBIA,11774
2013,FLORIDA,356488
2013,GEORGIA,190587
2013,HAWAII,19221
2013,IDAHO,27592
2013,ILLINOIS,294227
2013,INDIANA,169830
2013,IOWA,64704
2013,KANSAS,68625
2013,KENTUCKY,97467
2013,LOUISIANA,78667
2013,MAINE,32219
2013,MARYLAND,103788
2013,MASSACHUSETTS,166859
2013,MICHIGAN,200451
2013,MINNESOTA,124507
2013,MISSISSIPPI,65687
2013,MISSOURI,123292
2013,MONTANA,16473
2013,NEBRASKA,46983
2013,NEVADA,52052
2013,NEW HAMPSHIRE,29011
2013,NEW JERSEY,228844
2013,NEW MEXICO,47283
2013,NEW YORK,454971
2013,NORTH CAROLINA,193092
2013,NORTH DAKOTA,13366
2013,OHIO,254541
2013,OKLAHOMA,103136
2013,OREGON,82717
2013,PENNSYLVANIA,296249
2013,RHODE ISLAND,23402
2013,SOUTH CAROLINA,98930
2013,SOUTH DAKOTA,18508
2013,TENNESSEE,130387
2013,TEXAS,443612
2013,UTAH,75428
2013,VERMONT,13904
2013,VIRGINIA,161160
2013,WASHINGTON,131997
2013,WEST VIRGINIA,44375
2013,WISCONSIN,122654
2013,WYOMING,
2014,ALABAMA,82354
2014,ALASKA,18023
2014,ARIZONA,131541
2014,ARKANSAS,66621
2014,CALIFORNIA,711205
2014,COLORADO,92782
2014,CONNECTICUT,73293
2014,DELAWARE,19889
2014,DISTRICT OF COLUMBIA,12172
2014,FLORIDA,362925
2014,GEORGIA,196048
2014,HAWAII,19081
2014,IDAHO,28477
2014,ILLINOIS,294916
2014,INDIANA,170465
2014,IOWA,63866
2014,KANSAS,69845
2014,KENTUCKY,97820
2014,LOUISIANA,79245
2014,MAINE,31920
2014,MARYLAND,104136
