STATE,YEAR,STUDENT_COUNT
SOUTH DAKOTA,2014,132702
TENNESSEE,2014,995578
TEXAS,2014,5233736
UTAH,2014,635577
VERMONT,2014,84456
VIRGINIA,2014,1280347
WASHINGTON,2014,1073638
WEST VIRGINIA,2014,280310
WISCONSIN,2014,871249
WYOMING,2014,94067
ALABAMA,2013,742993
ALASKA,2013,130944
ARIZONA,2013,1097422
ARKANSAS,2013,489724
CALIFORNIA,2013,6223972
COLORADO,2013,876147
CONNECTICUT,2013,546078
DELAWARE,2013,131539
DISTRICT OF COLUMBIA,2013,78153
FLORIDA,2013,2720739
GEORGIA,2013,1723909
HAWAII,2013,186825
IDAHO,2013,294911
ILLINOIS,2013,2058107
INDIANA,2013,1047385
IOWA,2013,494570
KANSAS,2013,491449
KENTUCKY,2013,683957
LOUISIANA,2013,695632
MAINE,2013,178842
MARYLAND,2013,866151
MASSACHUSETTS,2013,955739
MICHIGAN,2013,1506946
MINNESOTA,2013,850871
MISSISSIPPI,2013,492586
MISSOURI,2013,918288
MONTANA,2013,144129
NEBRASKA,2013,307677
NEVADA,2013,451831
NEW HAMPSHIRE,2013,185312
NEW JERSEY,2013,1371662
NEW MEXICO,2013,337275
NEW YORK,2013,2720390
NORTH CAROLINA,2013,1521075
NORTH DAKOTA,2013,103786
OHIO,2013,1722675
OKLAHOMA,2013,681848
OREGON,2013,559650
PENNSYLVANIA,2013,1734286
RHODE ISLAND,2013,140605
SOUTH CAROLINA,2013,745591
SOUTH DAKOTA,2013,130890
TENNESSEE,2013,993556
TEXAS,2013,5153642
UTAH,2013,625461
VERMONT,2013,85407
VIRGINIA,2013,1273904
WASHINGTON,2013,1059139
WEST VIRGINIA,2013,280958
WISCONSIN,2013,874189
WYOMING,2013,92563
ALABAMA,2012,744548
ALASKA,2012,131467
ARIZONA,2012,1087733
ARKANSAS,2012,486157
CALIFORNIA,2012,6213182
COLORADO,2012,863121
CONNECTICUT,2012,550643
DELAWARE,2012,128878
DISTRICT OF COLUMBIA,2012,75819
FLORIDA,2012,2692162
GEORGIA,2012,1703332
HAWAII,2012,184760
IDAHO,2012,283733
ILLINOIS,2012,2063607
INDIANA,2012,1040051
IOWA,2012,490630
KANSAS,2012,484070
KENTUCKY,2012,685167
LOUISIANA,2012,697224
MAINE,2012,180274
MARYLAND,2012,859623
MASSACHUSETTS,2012,954771
MICHIGAN,2012,1517572
MINNESOTA,2012,845291
MISSISSIPPI,2012,493650
MISSOURI,2012,917683
MONTANA,2012,142908
NEBRASKA,2012,302952
NEVADA,2012,445707
NEW HAMPSHIRE,2012,187947
NEW JERSEY,2012,1372013
NEW MEXICO,2012,336084
NEW YORK,2012,2710697
NORTH CAROLINA,2012,1507693
NORTH DAKOTA,2012,101111
OHIO,2012,1728938
OKLAHOMA,2012,670858
OREGON,2012,556016
PENNSYLVANIA,2012,1742584
RHODE ISLAND,2012,141124
SOUTH CAROLINA,2012,735998
SOUTH DAKOTA,2012,130100
TENNESSEE,2012,993496
TEXAS,2012,5077632
UTAH,2012,613278
VERMONT,2012,86090
VIRGINIA,2012,1265530
WASHINGTON,2012,1051321
WEST VIRGINIA,2012,283044
WISCONSIN,2012,872230
WYOMING,2012,91376
ALABAMA,2011,731725
ALASKA,2011,131166
ARIZONA,2011,1078180
ARKANSAS,2011,483114
CALIFORNIA,2011,6202862
COLORADO,2011,853669
CONNECTICUT,2011,553925
DELAWARE,2011,128946
DISTRICT OF COLUMBIA,2011,73844
FLORIDA,2011,2668113
GEORGIA,2011,1685016
HAWAII,2011,182705
IDAHO,2011,279494
ILLINOIS,2011,2073721
INDIANA,2011,1037779
IOWA,2011,485358
KANSAS,2011,481519
KENTUCKY,2011,681643
LOUISIANA,2011,702301
MAINE,2011,178989
MARYLAND,2011,854060
MASSACHUSETTS,2011,953369
MICHIGAN,2011,1533484
MINNESOTA,2011,839645
MISSISSIPPI,2011,490619
MISSOURI,2011,916300
MONTANA,2011,142349
NEBRASKA,2011,301296
NEVADA,2011,439128
NEW HAMPSHIRE,2011,190784
NEW JERSEY,2011,1352571
NEW MEXICO,2011,335236
NEW YORK,2011,2702568
NORTH CAROLINA,2011,1499541
NORTH DAKOTA,2011,95542
OHIO,2011,1738642
OKLAHOMA,2011,666011
OREGON,2011,553232
PENNSYLVANIA,2011,1747825
RHODE ISLAND,2011,141564
SOUTH CAROLINA,2011,726003
SOUTH DAKOTA,2011,128016
TENNESSEE,2011,987830
TEXAS,2011,5000193
UTAH,2011,598294
VERMONT,2011,84031
VIRGINIA,2011,1255551
WASHINGTON,2011,1045321
WEST VIRGINIA,2011,282870
WISCONSIN,2011,870282
WYOMING,2011,89894
ALABAMA,2010,732895
ALASKA,2010,132104
ARIZONA,2010,1069592
ARKANSAS,2010,482114
CALIFORNIA,2010,6207959
COLORADO,2010,842864
CONNECTICUT,2010,559912
DELAWARE,2010,128935
DISTRICT OF COLUMBIA,2010,71263
FLORIDA,2010,2642758
GEORGIA,2010,1677067
HAWAII,2010,179601
IDAHO,2010,275815
ILLINOIS,2010,2082121
INDIANA,2010,1041472
IOWA,2010,484856
KANSAS,2010,479996
KENTUCKY,2010,673128
LOUISIANA,2010,695772
MAINE,2010,183477
MARYLAND,2010,852202
MASSACHUSETTS,2010,955301
MICHIGAN,2010,1553564
MINNESOTA,2010,837930
MISSISSIPPI,2010,489462
MISSOURI,2010,916356
MONTANA,2010,141693
NEBRASKA,2010,298276
NEVADA,2010,436840
NEW HAMPSHIRE,2010,194001
NEW JERSEY,2010,1356893
NEW MEXICO,2010,336005
NEW YORK,2010,2733530
NORTH CAROLINA,2010,1488193
NORTH DAKOTA,2010,94273
OHIO,2010,1750235
OKLAHOMA,2010,659828
